11:14:54.658 [main] INFO  HelloWorld - Hello, World!
11:14:54.662 [main] DEBUG HelloWorld - Debug
11:14:54.662 [main] WARN  HelloWorld - Warn
11:35:29.323 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - class ru.sfedu.computervisionlab.utils.ConfigurationUtilTest
11:39:07.560 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - class ru.sfedu.computervisionlab.utils.ConfigurationUtilTest
11:39:07.568 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - Get config my_prop
11:39:07.569 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - olololo
28 Mar 2019 16:01:07,900 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - /home/orus-kade/opencv/NewFolder/lib/libopencv_java345.so
28 Mar 2019 16:01:24,631 [main] INFO  ru.sfedu.computervisionlab.api.ImageApiTest - Trying to load library...
28 Mar 2019 16:01:24,634 [main] INFO  ru.sfedu.computervisionlab.api.ImageApi - Checking OS.....
28 Mar 2019 16:01:24,636 [main] DEBUG ru.sfedu.computervisionlab.utils.Utils - linux
28 Mar 2019 16:01:24,637 [main] ERROR ru.sfedu.computervisionlab.api.ImageApiTest - null
28 Mar 2019 16:02:08,622 [main] INFO  ru.sfedu.computervisionlab.api.ImageApiTest - Trying to load library...
28 Mar 2019 16:02:08,628 [main] INFO  ru.sfedu.computervisionlab.api.ImageApi - Checking OS.....
28 Mar 2019 16:02:08,630 [main] DEBUG ru.sfedu.computervisionlab.utils.Utils - linux
28 Mar 2019 16:02:08,631 [main] ERROR ru.sfedu.computervisionlab.api.ImageApiTest - null
28 Mar 2019 16:02:08,633 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - class ru.sfedu.computervisionlab.utils.ConfigurationUtilTest
28 Mar 2019 16:02:08,634 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - Get config path_to_linux_lib
28 Mar 2019 16:02:08,635 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - /home/orus-kade/opencv/NewFolder/lib/libopencv_java345.so
28 Mar 2019 16:02:08,637 [main] INFO  HelloWorld - Hello, World!
28 Mar 2019 16:02:08,637 [main] DEBUG HelloWorld - Debug
28 Mar 2019 16:02:08,638 [main] WARN  HelloWorld - Warn
28 Mar 2019 16:02:22,354 [main] INFO  ru.sfedu.computervisionlab.api.ImageApiTest - Trying to load library...
28 Mar 2019 16:02:22,362 [main] INFO  ru.sfedu.computervisionlab.api.ImageApi - Checking OS.....
28 Mar 2019 16:02:22,364 [main] DEBUG ru.sfedu.computervisionlab.utils.Utils - linux
28 Mar 2019 16:02:22,365 [main] ERROR ru.sfedu.computervisionlab.api.ImageApiTest - null
